date,time,symbol,setup,side,entry,stop,target,exit,pnl,r_multiple,size,bias_weight,reasons,momentum_score,mean_rev_score,vol_cap,pullback_score,exit_time
2023-04-19,2023-04-19T14:05:00-04:00,SPY,momentum_continuation,LONG,414.26,414.26,414.7405714285714,414.45,103.54999999999876,,545,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-19T15:20:00-04:00
2023-04-19,2023-04-19T15:20:00-04:00,SPY,momentum_continuation,LONG,414.45,414.1766071428571,414.9320714285714,414.1,-217.6999999999788,-1.280209013716291,622,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-19T15:45:00-04:00
2023-04-19,2023-04-19T15:55:00-04:00,SPY,mean_reversion_vwap_bbands,SHORT,413.985,414.3641071428571,413.4860714285714,413.94,21.420000000007576,0.11869995289690123,476,0.5,mr_score:0.60,0.0,0.6,0.95,,2023-04-19T16:00:00-04:00
2023-04-20,2023-04-20T12:20:00-04:00,SPY,momentum_continuation,LONG,412.45,412.45,412.9597857142857,412.775,181.67499999999364,,559,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-20T12:40:00-04:00
2023-04-20,2023-04-20T12:40:00-04:00,SPY,momentum_continuation,LONG,412.775,412.775,413.3222857142857,413.26,259.4750000000073,,535,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-20T13:05:00-04:00
2023-04-20,2023-04-20T13:05:00-04:00,SPY,momentum_continuation,LONG,413.26,413.26,413.7317142857143,413.175,-46.664999999988765,,549,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-20T14:00:00-04:00
2023-04-20,2023-04-20T15:55:00-04:00,SPY,momentum_continuation,LONG,411.495,410.71999999999997,412.205,412.25,265.0049999999984,0.9741935483870481,351,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-20T16:00:00-04:00
2023-04-21,2023-04-21T12:00:00-04:00,SPY,momentum_continuation,LONG,411.78,411.78,412.5157142857143,412.53,270.0,,360,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-21T14:05:00-04:00
2023-04-21,2023-04-21T14:05:00-04:00,SPY,momentum_continuation,LONG,412.53,412.1719642857143,413.0476428571429,412.06,-280.1199999999824,-1.3127182044888324,596,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-21T14:35:00-04:00
2023-04-21,2023-04-21T15:00:00-04:00,SPY,momentum_continuation,LONG,411.99,411.6642857142857,412.5128571428572,411.7,-178.35000000001259,-0.8903508771930115,615,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-21T15:10:00-04:00
2023-04-21,2023-04-21T15:35:00-04:00,SPY,momentum_continuation,LONG,411.91,411.91,412.38114285714283,412.12,121.79999999998813,,580,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-21T16:00:00-04:00
2023-04-24,2023-04-24T12:30:00-04:00,SPY,momentum_continuation,LONG,411.38,411.38,411.93264285714287,411.725,188.02500000001487,,545,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-24T13:35:00-04:00
2023-04-24,2023-04-24T13:35:00-04:00,SPY,momentum_continuation,LONG,411.725,411.725,412.1180714285714,412.205,343.6799999999723,,716,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-24T13:55:00-04:00
2023-04-24,2023-04-24T13:55:00-04:00,SPY,momentum_continuation,LONG,412.205,411.8607142857143,412.5301428571429,411.895,-241.80000000000177,-0.900414937759482,780,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-24T14:35:00-04:00
2023-04-24,2023-04-24T14:50:00-04:00,SPY,momentum_continuation,LONG,412.03,411.6246428571429,412.2964285714286,412.325,229.21500000001237,0.7277533039648757,777,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-24T15:10:00-04:00
2023-04-24,2023-04-24T15:10:00-04:00,SPY,momentum_continuation,LONG,412.325,412.0025,412.67900000000003,412.63,235.46000000000527,0.945736434108575,772,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-24T15:55:00-04:00
2023-04-25,2023-04-25T15:20:00-04:00,SPY,momentum_continuation,LONG,407.11,406.59035714285716,407.7665714285714,406.62,-217.56000000000404,-0.9429553264605015,444,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-25T15:40:00-04:00
2023-04-26,2023-04-26T12:00:00-04:00,SPY,momentum_continuation,LONG,407.4,406.8260714285715,407.9787142857143,406.73,-272.68999999998334,-1.1673926571251598,407,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-26T12:35:00-04:00
2023-04-27,2023-04-27T12:00:00-04:00,SPY,momentum_continuation,LONG,409.225,409.225,409.7842142857143,409.625,182.39999999998963,,456,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T12:55:00-04:00
2023-04-27,2023-04-27T12:55:00-04:00,SPY,momentum_continuation,LONG,409.625,409.625,410.03792857142855,410.08,293.01999999998975,,644,0.5,mom_score:0.80,0.8,0.0,0.95,,2023-04-27T13:30:00-04:00
2023-04-27,2023-04-27T13:30:00-04:00,SPY,momentum_continuation,LONG,410.08,410.08,410.4100714285714,410.35,226.2600000000324,,838,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T13:35:00-04:00
2023-04-27,2023-04-27T13:35:00-04:00,SPY,momentum_continuation,LONG,410.35,410.35,410.68485714285714,410.7,281.0499999999726,,803,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T13:45:00-04:00
2023-04-27,2023-04-27T13:45:00-04:00,SPY,momentum_continuation,LONG,410.7,410.7,411.0251428571429,410.88,140.40000000000532,,780,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T13:50:00-04:00
2023-04-27,2023-04-27T13:50:00-04:00,SPY,momentum_continuation,LONG,410.88,410.88,411.22792857142855,411.53,465.3999999999837,,716,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T14:20:00-04:00
2023-04-27,2023-04-27T14:20:00-04:00,SPY,momentum_continuation,LONG,411.53,411.53,411.97092857142854,411.96,265.7400000000042,,618,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T14:35:00-04:00
2023-04-27,2023-04-27T14:35:00-04:00,SPY,momentum_continuation,LONG,411.96,411.96,412.52164285714287,412.625,356.44000000001097,,536,0.5,mom_score:1.00,1.0,0.0,0.95,,2023-04-27T15:05:00-04:00
